Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,grange.co.uk,hrowen.co.uk,grange.co.uk (pages),hrowen.co.uk (pages),Results
aston martin martin vantage,"Informational, Transactional",12100,42,0.23,0.87,24,18,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/vantage,https://www.hrowen.co.uk/aston-martin/vantage-range/vantage-coupe/,18800000
rolls royce phantom,Informational,12100,53,0.36,0.78,17,5,https://www.grange.co.uk/rolls-royce/new-cars/phantom/phantom-ewb,https://www.hrowen.co.uk/rolls-royce/phantom-range/,17800000
rolls royce phantom auto,Informational,9900,50,0.36,0.78,44,7,https://www.grange.co.uk/rolls-royce/new-cars/phantom,https://www.hrowen.co.uk/rolls-royce/phantom-range/,9790000
rolls royce phantom rolls royce,Informational,9900,38,0.36,0.78,17,5,https://www.grange.co.uk/rolls-royce/new-cars/phantom/phantom-ewb,https://www.hrowen.co.uk/rolls-royce/phantom-range/,19100000
rolls royce ghost,Informational,8100,35,0.26,0.86,4,5,https://www.grange.co.uk/rolls-royce/new-cars/ghost-series-ii/ghost,https://www.hrowen.co.uk/rolls-royce/ghost-range/,14200000
rolls royce price,Commercial,8100,39,0.32,0.65,23,5,https://www.grange.co.uk/rolls-royce/used-cars/rolls-royce,https://www.hrowen.co.uk/rolls-royce/model-range/,82300000
aston martin db11,Navigational,6600,21,0.13,0.87,8,10,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/db11,https://www.hrowen.co.uk/aston-martin/used-cars/db11/,10
roll rouse,Navigational,6600,67,0.84,0.56,26,8,https://www.grange.co.uk/rolls-royce/new-cars,https://www.hrowen.co.uk/rolls-royce/model-range/,145000000
rolls-royce,Navigational,6600,77,0.00,0.00,36,6,https://www.grange.co.uk/rolls-royce/new-cars,https://www.hrowen.co.uk/rolls-royce/model-range/,156000000
bentley continental,"Informational, Transactional",5400,48,1.14,0.95,19,17,https://www.grange.co.uk/bentley/new-cars/continental-gt,https://www.hrowen.co.uk/bentley/used-cars/continental-gt/,26000000
bentley flying spur,Informational,5400,29,1.44,0.92,35,11,https://www.grange.co.uk/bentley/new-cars/flying-spur,https://www.hrowen.co.uk/bentley/flying-spur-range/mulliner/,10
ferrari 488 car,"Informational, Transactional",5400,18,1.64,0.78,14,56,https://www.grange.co.uk/aston-martin/used-cars/ferrari/488-gtb?branch=aston-martin-birmingham,https://www.hrowen.co.uk/news/the-first-ferrari-488-gtb-in-the-uk/,10
lamborghini temerario,Informational,5400,34,0.00,0.13,45,7,https://www.grange.co.uk/lamborghini/new-cars/temerario,https://www.hrowen.co.uk/lamborghini/temerario-range/temerario/,10
road royce price,Transactional,5400,25,0.32,0.65,5,3,https://www.grange.co.uk/rolls-royce/new-cars/ghost-series-ii/ghost,https://www.hrowen.co.uk/rolls-royce/model-range/,75500000
aston martin valour,"Commercial, Informational",4400,41,2.36,0.19,19,33,https://www.grange.co.uk/aston-martin/new-cars/valour,https://www.hrowen.co.uk/aston-martin/news/spectacular-aston-martin-valour-proves-that-fortune-favours-the-brave/,10700000
cullinan,Informational,4400,66,0.39,0.67,9,3,https://www.grange.co.uk/rolls-royce/new-cars/cullinan/cullinan,https://www.hrowen.co.uk/rolls-royce/cullinan-range/,13900000
lamborghini urus price,"Commercial, Navigational",4400,46,0.26,0.75,5,6,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/urus,https://www.hrowen.co.uk/lamborghini/urus-range/,11900000
aston martin for sale,Transactional,3600,28,0.17,1.00,20,7,https://www.grange.co.uk/aston-martin/used-cars/aston-martin,https://www.hrowen.co.uk/aston-martin/used-cars/,72200000
auto bentley continental,"Informational, Transactional",3600,34,1.14,0.95,39,29,https://www.grange.co.uk/bentley/new-cars/continental-gt,https://www.hrowen.co.uk/bentley/continental-gt-range/,16000000
bentayga,Informational,3600,35,1.01,0.89,30,6,https://www.grange.co.uk/bentley/new-cars/bentayga,https://www.hrowen.co.uk/bentley/bentayga-range/,7210000
bentley cars,Navigational,3600,49,1.09,0.89,14,6,https://www.grange.co.uk/bentley,https://www.hrowen.co.uk/bentley/model-range/,178000000
lamborghini car lamborghini car lamborghini car,Navigational,3600,36,0.77,0.91,12,10,https://www.grange.co.uk/lamborghini/new-cars,https://www.hrowen.co.uk/lamborghini/model-range/,10
revuelto,Informational,3600,42,0.00,0.36,35,6,https://www.grange.co.uk/lamborghini/new-cars/revuelto,https://www.hrowen.co.uk/lamborghini/revuelto-range/revuelto/,16400000
rr ghost,"Informational, Transactional",3600,34,0.26,0.86,15,4,https://www.grange.co.uk/rolls-royce/new-cars/ghost-series-ii/ghost,https://www.hrowen.co.uk/rolls-royce/ghost-range/,46200000
bentley car,Navigational,2900,47,1.07,0.94,28,37,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/,182000000
bentley for sale,Transactional,2900,31,0.24,1.00,49,7,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/used-cars/,144000000
lamborghini huracan lamborghini,Informational,2900,53,0.15,0.78,26,7,https://www.grange.co.uk/lamborghini/new-cars/huracan,https://www.hrowen.co.uk/lamborghini/huracan-range/,29600000
lamborgini,Navigational,2900,76,0.77,0.82,19,4,https://www.grange.co.uk/lamborghini/heritage,https://www.hrowen.co.uk/lamborghini/,209000000
rolls & royce,Navigational,2900,63,0.92,0.38,5,13,https://www.grange.co.uk/rolls-royce,https://www.hrowen.co.uk/rolls-royce/location/rolls-royce-motor-cars-london/,166000000
rr phantom,Informational,2900,47,0.36,0.78,21,4,https://www.grange.co.uk/rolls-royce/new-cars/phantom,https://www.hrowen.co.uk/rolls-royce/phantom-range/,39300000
aston martin careers,Commercial,2400,25,0.67,0.00,14,13,https://careers.grange.co.uk/aston-martin,https://www.hrowen.co.uk/careers/,66100000
aston martin vantage cars,Informational,2400,35,0.23,0.87,19,37,https://www.grange.co.uk/aston-martin/used-cars/aston-martin,https://www.hrowen.co.uk/aston-martin/used-cars/vantage/,18900000
audi hatfield,"Informational, Transactional",2400,34,0.99,0.96,20,67,https://www.grange.co.uk/land-rover/used-cars/audi?branch=land-rover-hatfield,https://www.hrowen.co.uk/location/h-r-owen-hatfield/,1050000
bentley bentley continental,Informational,2400,55,1.38,0.91,20,5,https://www.grange.co.uk/bentley/new-cars/continental-gtc,https://www.hrowen.co.uk/bentley/continental-gt-range/,27700000
db11,"Informational, Transactional",2400,28,0.20,0.86,9,13,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/db11,https://www.hrowen.co.uk/aston-martin/used-cars/db11/,7000000
exp cars,"Informational, Transactional",2400,27,1.28,1.00,18,42,https://www.grange.co.uk/bentley/news/bentley-exp15,https://www.hrowen.co.uk/news/bentley-exp-10-speed-six-wins-top-concept-car-prize/,20900000
how much is a lamborghini,Informational,2400,39,0.45,0.86,76,16,https://www.grange.co.uk/lamborghini/new-cars,https://www.hrowen.co.uk/lamborghini/used-cars/,76900000
lamborghini car lamborghini,Informational,2400,65,0.59,0.85,17,8,https://www.grange.co.uk/lamborghini/new-cars,https://www.hrowen.co.uk/lamborghini/model-range/,217000000
lamborghini for sale,Transactional,2400,27,0.18,1.00,26,3,https://www.grange.co.uk/lamborghini/used-cars/lamborghini,https://www.hrowen.co.uk/lamborghini/used-cars/,156000000
lamborghini price,"Commercial, Navigational",2400,41,0.34,0.78,19,7,https://www.grange.co.uk/lamborghini/new-cars,https://www.hrowen.co.uk/lamborghini/used-cars/,178000000
mclaren cars jobs,"Commercial, Navigational",2400,43,0.13,0.00,20,59,https://careers.grange.co.uk/mclaren,https://www.hrowen.co.uk/careers/,7530000
new aston martin,"Informational, Transactional",2400,32,0.37,0.08,5,7,https://www.grange.co.uk/aston-martin/new-cars,https://www.hrowen.co.uk/aston-martin/model-range/,141000000
rolls royce cars,Navigational,2400,47,0.58,0.82,11,3,https://www.grange.co.uk/rolls-royce,https://www.hrowen.co.uk/rolls-royce/model-range/,81000000
rolls royce motor cars,Navigational,2400,84,1.10,0.15,14,4,https://www.grange.co.uk/rolls-royce/new-cars,https://www.hrowen.co.uk/rolls-royce/model-range/,57100000
rolls-royce phantom,Informational,2400,60,0.00,0.00,23,6,https://www.grange.co.uk/rolls-royce/new-cars/phantom/phantom-ewb,https://www.hrowen.co.uk/rolls-royce/phantom-range/,16700000
rolls-royce wraith wraith,"Informational, Transactional",2400,29,0.00,0.00,28,43,https://www.grange.co.uk/rolls-royce/new-cars/wraith,https://www.hrowen.co.uk/news/the-rolls-royce-wraith-landspeed-collection/,6070000
aston martin jobs,Commercial,1900,25,0.27,0.01,10,15,https://careers.grange.co.uk/aston-martin,https://www.hrowen.co.uk/careers/,48100000
bentley careers,Commercial,1900,30,1.51,0.00,8,26,https://careers.grange.co.uk/bentley,https://www.hrowen.co.uk/careers/,54500000
bentley cars for sale,Transactional,1900,24,0.24,1.00,40,3,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/used-cars/,43400000
hatfield porsche hertfordshire,"Informational, Transactional",1900,35,1.85,1.00,62,53,https://www.grange.co.uk/mclaren/find-a-dealer/mclaren-hatfield,https://www.hrowen.co.uk/location/h-r-owen-hatfield/,22800
lamboghini,Navigational,1900,68,0.75,0.76,20,5,https://www.grange.co.uk/lamborghini/heritage,https://www.hrowen.co.uk/lamborghini/,234000000
lamborghini cars,Informational,1900,52,0.77,0.91,9,5,https://www.grange.co.uk/lamborghini/new-cars,https://www.hrowen.co.uk/lamborghini/model-range/,217000000
lamborghini urus for sale,Transactional,1900,17,0.12,1.00,31,4,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/urus,https://www.hrowen.co.uk/lamborghini/urus-range/,7900000
new lambo,Navigational,1900,59,0.50,0.07,6,3,https://www.grange.co.uk/lamborghini/new-cars,https://www.hrowen.co.uk/lamborghini/model-range/,24600000
rolls royce car,Navigational,1900,63,0.58,0.82,27,3,https://www.grange.co.uk/rolls-royce/new-cars,https://www.hrowen.co.uk/rolls-royce/model-range/,121000000
rolls royce cullinan price,"Commercial, Navigational",1900,30,0.29,0.88,3,25,https://www.grange.co.uk/rolls-royce/new-cars/cullinan/cullinan-black-badge,https://www.hrowen.co.uk/rolls-royce/cullinan-range/cullinan/,5990000
rolls royce for sale,Transactional,1900,31,0.23,1.00,44,2,https://www.grange.co.uk/rolls-royce/used-cars/rolls-royce,https://www.hrowen.co.uk/rolls-royce/used-cars/,73400000
rolls royce rolls royce wraith,Informational,1900,28,0.17,0.85,12,55,https://www.grange.co.uk/rolls-royce/new-cars/wraith,https://www.hrowen.co.uk/rolls-royce/used-cars/,5830000
rolls-royce cullinan,Navigational,1900,53,0.00,0.00,9,6,https://www.grange.co.uk/rolls-royce/new-cars/cullinan/cullinan,https://www.hrowen.co.uk/rolls-royce/cullinan-range/,9430000
used aston martin,"Navigational, Transactional",1900,30,0.17,0.88,8,6,https://www.grange.co.uk/aston-martin/used-cars/aston-martin,https://www.hrowen.co.uk/aston-martin/used-cars/,82800000
v12 vantage,Informational,1900,28,0.18,0.69,34,32,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/v12-vantage,https://www.hrowen.co.uk/aston-martin/vantage-range/,12700000
aston martin news,Informational,1600,40,0.00,0.08,63,17,https://www.grange.co.uk/aston-martin/news/news-valiant,https://www.hrowen.co.uk/aston-martin/news/,94600000
aston martin v12 vantage,Informational,1600,45,0.18,0.69,16,37,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/v12-vantage,https://www.hrowen.co.uk/aston-martin/vantage-range/,4820000
aston martin vantage v12,Informational,1600,43,0.12,0.84,32,33,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/v12-vantage,https://www.hrowen.co.uk/aston-martin/vantage-range/,4380000
bentley continental gt price,"Commercial, Navigational",1600,33,1.32,1.00,7,3,https://www.grange.co.uk/bentley/new-cars/continental-gt,https://www.hrowen.co.uk/bentley/continental-gt-range/,7380000
how much for lambo,Informational,1600,33,0.60,0.87,68,4,https://www.grange.co.uk/lamborghini,https://www.hrowen.co.uk/lamborghini/used-cars/,18500000
lambo on sale,Transactional,1600,26,0.18,1.00,28,2,https://www.grange.co.uk/lamborghini/used-cars/lamborghini,https://www.hrowen.co.uk/lamborghini/used-cars/,6690000
lamborghini car,"Informational, Transactional",1600,47,0.59,0.85,21,8,https://www.grange.co.uk/lamborghini/heritage,https://www.hrowen.co.uk/lamborghini/model-range/,245000000
lamborghini inside car,Informational,1600,31,0.77,0.91,66,20,https://www.grange.co.uk/lamborghini/heritage,https://www.hrowen.co.uk/lamborghini/news/new-lamborghini-huracan-evo-rear-wheel-drive-the-driver-in-total-control-of-sheer-driving-fun/,178000000
lamborghini models,Informational,1600,59,0.48,0.70,15,6,https://www.grange.co.uk/lamborghini/new-cars,https://www.hrowen.co.uk/lamborghini/model-range/,238000000
lamborghini new lamborghini,"Informational, Transactional",1600,59,0.58,0.04,11,5,https://www.grange.co.uk/lamborghini/new-cars,https://www.hrowen.co.uk/lamborghini/model-range/,207000000
rolls royce phantom price,"Commercial, Navigational",1600,26,0.36,0.59,14,3,https://www.grange.co.uk/rolls-royce/new-cars/phantom/phantom-ewb,https://www.hrowen.co.uk/rolls-royce/phantom-range/,14100000
rolls-royce cullinan price,"Commercial, Navigational",1600,23,0.00,0.00,4,16,https://www.grange.co.uk/rolls-royce/new-cars/cullinan/cullinan-black-badge,https://www.hrowen.co.uk/rolls-royce/cullinan-range/cullinan/,5760000
rolls-royce ghost,"Informational, Navigational",1600,41,0.00,0.00,4,8,https://www.grange.co.uk/rolls-royce/new-cars/ghost-series-ii/ghost,https://www.hrowen.co.uk/rolls-royce/ghost-range/,14400000
urus car,Transactional,1600,55,0.30,0.94,11,33,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/urus,https://www.hrowen.co.uk/lamborghini/urus-range/urus-se/,22200000
urus lamborghini,Navigational,1600,54,0.19,0.91,11,7,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/urus,https://www.hrowen.co.uk/lamborghini/urus-range/,24000000
aston martin dbx price,Commercial,1300,34,0.38,0.99,35,8,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/dbx,https://www.hrowen.co.uk/aston-martin/dbx-range/,3160000
aston martin for sale uk,Transactional,1300,29,0.13,1.00,25,5,https://www.grange.co.uk/aston-martin/used-cars/aston-martin,https://www.hrowen.co.uk/aston-martin/used-cars/,20200000
aston martin price,Commercial,1300,25,0.45,0.86,4,42,https://www.grange.co.uk/aston-martin/new-cars,https://www.hrowen.co.uk/aston-martin/used-cars/,99100000
bentley convertible,"Informational, Transactional",1300,28,0.66,1.00,47,35,https://www.grange.co.uk/bentley/used-cars/bentley/convertible,https://www.hrowen.co.uk/bentley/continental-gtc-range/,25700000
bentley gt msrp,Commercial,1300,40,1.47,1.00,5,11,https://www.grange.co.uk/bentley/new-cars/continental-gt,https://www.hrowen.co.uk/bentley/used-cars/continental-gt/,518000
bentley price,Informational,1300,33,1.08,0.99,29,7,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/model-range/,140000000
continental gt bentley,"Informational, Transactional",1300,47,0.99,0.96,18,8,https://www.grange.co.uk/bentley/new-cars/continental-gt,https://www.hrowen.co.uk/bentley/continental-gt-range/,19400000
cost of lambo suv,Commercial,1300,40,0.26,0.75,7,6,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/urus,https://www.hrowen.co.uk/lamborghini/urus-range/,212000
cullinan rolls royce price,Commercial,1300,25,0.29,0.88,4,14,https://www.grange.co.uk/rolls-royce/new-cars/cullinan/cullinan-black-badge,https://www.hrowen.co.uk/rolls-royce/cullinan-range/cullinan/,5030000
lambo urus price,"Commercial, Navigational",1300,28,0.32,0.84,5,4,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/urus,https://www.hrowen.co.uk/lamborghini/urus-range/,2490000
lamborgihini urus price,"Commercial, Navigational",1300,44,0.00,0.00,5,6,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/urus,https://www.hrowen.co.uk/lamborghini/urus-range/,11600000
news on aston martin,Informational,1300,37,0.00,0.08,59,16,https://www.grange.co.uk/aston-martin/news/am-high-performance,https://www.hrowen.co.uk/aston-martin/news/,66000000
phantom car,"Informational, Transactional",1300,61,0.53,0.29,29,12,https://www.grange.co.uk/rolls-royce/new-cars/phantom,https://www.hrowen.co.uk/rolls-royce/phantom-range/,192000000
rolls royce spectre price,"Commercial, Navigational",1300,31,0.37,0.99,47,73,https://www.grange.co.uk/rolls-royce/used-cars/rolls-royce/spectre,https://www.hrowen.co.uk/rolls-royce/spectre-range/,3340000
rolls-royce rolls-royce rolls-royce,Navigational,1300,83,0.00,0.00,27,6,https://www.grange.co.uk/rolls-royce/new-cars,https://www.hrowen.co.uk/rolls-royce/model-range/,165000000
rollsroyce,Navigational,1300,77,0.95,0.53,31,14,https://www.grange.co.uk/rolls-royce/new-cars,https://www.hrowen.co.uk/rolls-royce/model-range/,157000000
used aston martin for sale,Transactional,1300,28,0.13,0.99,8,3,https://www.grange.co.uk/aston-martin/used-cars/aston-martin,https://www.hrowen.co.uk/aston-martin/used-cars/,34600000
used bentley,Commercial,1300,28,0.42,1.00,5,6,https://www.grange.co.uk/bentley,https://www.hrowen.co.uk/bentley/used-cars/,162000000
used bentley for sale,Transactional,1300,25,0.31,1.00,37,5,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/used-cars/,68900000
who owns bentley cars,Informational,1300,41,0.00,0.01,13,24,https://www.grange.co.uk/bentley/heritage,https://www.hrowen.co.uk/bentley/,83600000
who owns rolls royce car company,Informational,1300,36,0.00,0.00,30,19,https://www.grange.co.uk/rolls-royce/heritage,https://www.hrowen.co.uk/rolls-royce/,81900000
who owns the rolls royce,Informational,1300,34,0.00,0.00,25,20,https://www.grange.co.uk/rolls-royce/heritage,https://www.hrowen.co.uk/rolls-royce/used-cars/,155000000
aston martin approved used,"Commercial, Navigational",1000,29,0.64,0.60,6,3,https://www.grange.co.uk/aston-martin/used-cars/aston-martin,https://www.hrowen.co.uk/aston-martin/used-cars/,62600000
aston martin db11 for sale,Transactional,1000,22,0.11,1.00,8,4,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/db11,https://www.hrowen.co.uk/aston-martin/used-cars/db11/,1490000
aston martin db12 price,Commercial,1000,23,0.37,0.82,27,13,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/db12,https://www.hrowen.co.uk/aston-martin/offers/aston-martin-db12-finance/,1010000
aston martin superleggera,Informational,1000,28,0.07,0.86,16,31,https://www.grange.co.uk/aston-martin/darren-turner/car-reviews/dbs-superleggera,https://www.hrowen.co.uk/aston-martin/used-cars/,2360000
aston martin uk,Navigational,1000,59,0.56,0.61,23,3,https://www.grange.co.uk/aston-martin/new-cars,https://www.hrowen.co.uk/aston-martin/,58100000
aston martin used,"Commercial, Navigational",1000,26,0.21,0.83,3,11,https://www.grange.co.uk/aston-martin/used-cars/aston-martin,https://www.hrowen.co.uk/aston-martin/used-cars/,65900000
bentley cost price,Informational,1000,39,1.10,0.99,73,8,https://www.grange.co.uk/bentley/new-cars/continental-gt,https://www.hrowen.co.uk/bentley/model-range/,25400000
bentley gt,Informational,1000,41,1.41,0.90,15,5,https://www.grange.co.uk/bentley/new-cars/continental-gt,https://www.hrowen.co.uk/bentley/continental-gt-range/,51800000
bentley jobs,Commercial,1000,38,0.79,0.01,11,24,https://careers.grange.co.uk/bentley,https://www.hrowen.co.uk/careers/,122000000
bentley motors for sale,Transactional,1000,33,0.24,1.00,18,4,https://www.grange.co.uk/bentley/find-a-dealer/bentley-tunbridge-wells,https://www.hrowen.co.uk/bentley/used-cars/,23300000
bentley uk,"Commercial, Navigational",1000,44,1.08,0.61,38,5,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/,103000000
continental gt,"Informational, Transactional",1000,28,1.55,0.70,12,10,https://www.grange.co.uk/bentley/new-cars/continental-gt,https://www.hrowen.co.uk/bentley/continental-gt-range/,73700000
db11 aston martin,"Informational, Transactional",1000,31,0.19,0.79,7,9,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/db11,https://www.hrowen.co.uk/aston-martin/used-cars/db11/,3680000
ferrari hatfield,Navigational,1000,29,2.33,0.39,14,2,https://www.grange.co.uk/mclaren/used-cars/ferrari?branch=mclaren-hatfield,https://www.hrowen.co.uk/ferrari/location/ferrari-hatfield/,729000
hatfield seat dealer,"Informational, Transactional",1000,16,1.18,0.77,85,88,https://www.grange.co.uk/aston-martin/find-a-dealer/aston-martin-hatfield,https://www.hrowen.co.uk/location/h-r-owen-hatfield/,393000
how much is a rolls royce,Informational,1000,41,0.31,0.75,26,4,https://www.grange.co.uk/rolls-royce/used-cars/rolls-royce,https://www.hrowen.co.uk/rolls-royce/model-range/,62500000
lambor,Navigational,1000,74,0.75,0.76,24,5,https://www.grange.co.uk/lamborghini/heritage,https://www.hrowen.co.uk/lamborghini/,84500000
lamborghini price in england,Commercial,1000,29,0.26,0.93,13,4,https://www.grange.co.uk/lamborghini/used-cars/lamborghini,https://www.hrowen.co.uk/lamborghini/used-cars/,6660000
lamborghini urus msrp,"Commercial, Informational",1000,32,0.25,0.66,42,10,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/urus,https://www.hrowen.co.uk/lamborghini/urus-range/,1530000
lambourghini,Navigational,1000,67,0.77,0.82,21,5,https://www.grange.co.uk/lamborghini/heritage,https://www.hrowen.co.uk/lamborghini/,213000000
maserati uk,"Commercial, Navigational",1000,43,0.37,0.55,38,2,https://www.grange.co.uk/used-cars/maserati,https://www.hrowen.co.uk/maserati/,28800000
mclaren cars careers,"Commercial, Navigational",1000,34,0.82,0.00,14,80,https://careers.grange.co.uk/mclaren,https://www.hrowen.co.uk/careers/,12300000
new rolls royce,Navigational,1000,39,0.37,0.09,7,2,https://www.grange.co.uk/rolls-royce/new-cars,https://www.hrowen.co.uk/rolls-royce/model-range/,124000000
old lamborghini,"Commercial, Informational",1000,33,0.00,0.32,9,49,https://www.grange.co.uk/lamborghini/masterpieces,https://www.hrowen.co.uk/lamborghini/news/1963-2023-60-years-of-colours-from-lamborghini/,86800000
rolls royce cds,"Informational, Transactional",1000,22,0.00,0.10,87,67,https://www.grange.co.uk/rolls-royce/heritage,https://www.hrowen.co.uk/rolls-royce/,722000
rolls royce models,Navigational,1000,47,0.34,0.76,11,3,https://www.grange.co.uk/rolls-royce/new-cars,https://www.hrowen.co.uk/rolls-royce/model-range/,118000000
rolls royce phantom msrp,"Commercial, Informational",1000,41,0.36,0.59,16,5,https://www.grange.co.uk/rolls-royce/new-cars/phantom/phantom-ewb,https://www.hrowen.co.uk/rolls-royce/phantom-range/,3880000
royce rolls,Navigational,1000,74,0.61,0.72,12,7,https://www.grange.co.uk/rolls-royce/new-cars,https://www.hrowen.co.uk/rolls-royce/model-range/,154000000
who owns aston martin now,Informational,1000,33,0.00,0.00,23,28,https://www.grange.co.uk/aston-martin/heritage,https://www.hrowen.co.uk/aston-martin/,120000000
488gtb ferrari,"Commercial, Informational",880,22,1.26,0.55,13,45,https://www.grange.co.uk/aston-martin/used-cars/ferrari/488-gtb?branch=aston-martin-birmingham,https://www.hrowen.co.uk/news/the-first-ferrari-488-gtb-in-the-uk/,8280000
aston martin apprenticeships,Informational,880,15,0.64,0.02,27,37,https://careers.grange.co.uk/apprenticeships,https://www.hrowen.co.uk/careers/,194000
aston martin new,"Informational, Transactional",880,30,0.44,0.08,4,28,https://www.grange.co.uk/aston-martin/new-cars,https://www.hrowen.co.uk/aston-martin/model-range/,176000000
aston martin vanquish price,Commercial,880,22,0.48,0.51,46,17,https://www.grange.co.uk/aston-martin/new-cars/vanquish,https://www.hrowen.co.uk/aston-martin/vanquish-range/,3240000
automotive dealer jobs,Commercial,880,26,0.26,0.15,24,2,https://careers.grange.co.uk/,https://www.hrowen.co.uk/careers/,38600000
bentley auto prices,Commercial,880,28,1.09,0.98,6,8,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/model-range/,44400000
bentley car price,Commercial,880,39,1.09,0.98,20,3,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/model-range/,117000000
bentley car rate,"Informational, Transactional",880,30,1.09,0.98,5,11,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/model-range/,30200000
bentley cars near me,Transactional,880,41,1.55,0.27,6,13,https://www.grange.co.uk/bentley,https://www.hrowen.co.uk/bentley/,37700000
bentley conti gt,Commercial,880,53,0.94,0.91,11,5,https://www.grange.co.uk/bentley/new-cars/continental-gt,https://www.hrowen.co.uk/bentley/continental-gt-range/,17100000
bentley continental gt speed,"Commercial, Informational",880,51,1.43,0.80,12,28,https://www.grange.co.uk/bentley/new-cars/continental-gt/speed-edition-12,https://www.hrowen.co.uk/bentley/used-cars/continental-gt/,7750000
bentley vehicles prices,Informational,880,28,1.09,1.00,6,8,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/model-range/,13300000
